<USER_REQUEST>
Ensure all below mentioned details are updated:

Unit AC Codes:
Property Name	Unit Code	PDC In Hand	SL Name	Deposit	SL Name	Receivables	SL Name
Old Salata - Bldg23	AAA - GF1	21400001	PDC - AAA - GF-1	21500001	Deposit - AAA - GF-1	12413001	Receivables - AAA - GF-1
Old Salata - Bldg23	AAA - GF2	21400002	PDC - AAA - GF-2	21500002	Deposit - AAA - GF-2	12413002	Receivables - AAA - GF-2
Old Salata - Bldg23	AAA - Flat11	21400003	PDC - AAA - FT:11	21500003	Deposit- AAA - FT:11	12413003	Receivables- AAA - FT:11
Old Salata - Bldg23	AAA - Flat12	21400004	PDC - AAA - FT:12	21500004	Deposit- AAA - FT:12	12413004	Receivables- AAA - FT:12
Old Salata - Bldg23	AAA - Flat13	21400005	PDC - AAA - FT:13	21500005	Deposit- AAA - FT:13	12413005	Receivables- AAA - FT:13
Old Salata - Bldg23	AAA - Flat14	21400006	PDC - AAA - FT:14	21500006	Deposit- AAA - FT:14	12413006	Receivables- AAA - FT:14
Old Salata - Bldg23	AAA - Flat15	21400007	PDC - AAA - FT:15	21500007	Deposit- AAA - FT:15	12413007	Receivables- AAA - FT:15
Old Salata - Bldg23	AAA - Flat16	21400008	PDC - AAA - FT:16	21500008	Deposit- AAA - FT:16	12413008	Receivables- AAA - FT:16
Old Salata - Bldg23	AAA - Flat21	21400009	PDC - AAA - FT:21	21500009	Deposit- AAA - FT:21	12413009	Receivables- AAA - FT:21
Old Salata - Bldg23	AAA - Flat22	21400010	PDC - AAA - FT:22	21500010	Deposit- AAA - FT:22	12413010	Receivables- AAA - FT:22
Old Salata - Bldg23	AAA - Flat23	21400011	PDC - AAA - FT:23	21500011	Deposit- AAA - FT:23	12413011	Receivables- AAA - FT:23
Old Salata - Bldg23	AAA - Flat24	21400012	PDC - AAA - FT:24	21500012	Deposit- AAA - FT:24	12413012	Receivables- AAA - FT:24
Old Salata - Bldg23	AAA - Flat25	21400013	PDC - AAA - FT:25	21500013	Deposit- AAA - FT:25	12413013	Receivables- AAA - FT:25
Old Salata - Bldg23	AAA - Flat26	21400014	PDC - AAA - FT:26	21500014	Deposit- AAA - FT:26	12413014	Receivables- AAA - FT:26
Old Salata - Bldg23	AAA - Flat31	21400015	PDC - AAA - FT:31	21500015	Deposit- AAA - FT:31	12413015	Receivables- AAA - FT:31
Old Salata - Bldg23	AAA - Flat32	21400016	PDC - AAA - FT:32	21500016	Deposit- AAA - FT:32	12413016	Receivables- AAA - FT:32
Old Salata - Bldg23	AAA - Flat33	21400017	PDC - AAA - FT:33	21500017	Deposit- AAA - FT:33	12413017	Receivables- AAA - FT:33
Old Salata - Bldg23	AAA - Flat34	21400018	PDC - AAA - FT:34	21500018	Deposit- AAA - FT:34	12413018	Receivables- AAA - FT:34
Old Salata - Bldg23	AAA - Flat35	21400019	PDC - AAA - FT:35	21500019	Deposit- AAA - FT:35	12413019	Receivables- AAA - FT:35
Old Salata - Bldg23	AAA - Flat36	21400020	PDC - AAA - FT:36	21500020	Deposit- AAA - FT:36	12413020	Receivables- AAA - FT:36
Old Salata - Bldg23	AAA - Flat41	21400021	PDC - AAA - FT:41	21500021	Deposit- AAA - FT:41	12413021	Receivables- AAA - FT:41
Old Salata - Bldg23	AAA - Flat42	21400022	PDC - AAA - FT:42	21500022	Deposit- AAA - FT:42	12413022	Receivables- AAA - FT:42
Old Salata - Bldg23	AAA - Flat43	21400023	PDC - AAA - FT:43	21500023	Deposit- AAA - FT:43	12413023	Receivables- AAA - FT:43
Old Salata - Bldg23	AAA - Flat44	21400024	PDC - AAA - FT:44	21500024	Deposit- AAA - FT:44	12413024	Receivables- AAA - FT:44
Old Salata - Bldg23	AAA - Flat45	21400025	PDC - AAA - FT:45	21500025	Deposit- AAA - FT:45	12413025	Receivables- AAA - FT:45
Old Salata - Bldg23	AAA - Flat46	21400026	PDC - AAA - FT:46	21500026	Deposit- AAA - FT:46	12413026	Receivables- AAA - FT:46
Old Salata - Bldg23	AAA - Flat51	21400027	PDC - AAA - FT:51	21500027	Deposit- AAA - FT:51	12413027	Receivables- AAA - FT:51
Old Salata - Bldg23	AAA - Flat52	21400028	PDC - AAA - FT:52	21500028	Deposit- AAA - FT:52	12413028	Receivables- AAA - FT:52
Old Salata - Bldg23	AAA - Flat53	21400029	PDC - AAA - FT:53	21500029	Deposit- AAA - FT:53	12413029	Receivables- AAA - FT:53
Old Salata - Bldg23	AAA - Flat54	21400030	PDC - AAA - FT:54	21500030	Deposit- AAA - FT:54	12413030	Receivables- AAA - FT:54
Old Salata - Bldg23	AAA - Flat55	21400031	PDC - AAA - FT:55	21500031	Deposit- AAA - FT:55	12413031	Receivables- AAA - FT:55
Old Salata - Bldg23	AAA - Flat56	21400032	PDC - AAA - FT:56	21500032	Deposit- AAA - FT:56	12413032	Receivables- AAA - FT:56
Old Salata - Bldg23	AAA - Flat61	21400033	PDC - AAA - FT:61	21500033	Deposit- AAA - FT:61	12413033	Receivables- AAA - FT:61
Old Salata - Bldg23	AAA - Flat62	21400034	PDC - AAA - FT:62	21500034	Deposit- AAA - FT:62	12413034	Receivables- AAA - FT:62
Old Salata - Bldg23	AAA - Flat63	21400035	PDC - AAA - FT:63	21500035	Deposit- AAA - FT:63	12413035	Receivables- AAA - FT:63
Old Salata - Bldg23	AAA - Flat64	21400036	PDC - AAA - FT:64	21500036	Deposit- AAA - FT:64	12413036	Receivables- AAA - FT:64
Old Salata - Bldg23	AAA - Flat65	21400037	PDC - AAA - FT:65	21500037	Deposit- AAA - FT:65	12413037	Receivables- AAA - FT:65
Old Salata - Bldg23	AAA - Flat66	21400038	PDC - AAA - FT:66	21500038	Deposit- AAA - FT:66	12413038	Receivables- AAA - FT:66
Old Salata - Bldg23	AAA - Flat71	21400039	PDC - AAA - FT:71	21500039	Deposit- AAA - FT:71	12413039	Receivables- AAA - FT:71
Old Salata - Bldg23	AAA - Flat72	21400040	PDC - AAA - FT:72	21500040	Deposit- AAA - FT:72	12413040	Receivables- AAA - FT:72
Old Salata - Bldg23	AAA - Flat73	21400041	PDC - AAA - FT:73	21500041	Deposit- AAA - FT:73	12413041	Receivables- AAA - FT:73
Old Salata - Bldg23	AAA - Flat74	21400042	PDC - AAA - FT:74	21500042	Deposit- AAA - FT:74	12413042	Receivables- AAA - FT:74
Old Salata - Bldg23	AAA - Flat75	21400043	PDC - AAA - FT:75	21500043	Deposit- AAA - FT:75	12413043	Receivables- AAA - FT:75
Old Salata - Bldg23	AAA - Flat76	21400044	PDC - AAA - FT:76	21500044	Deposit- AAA - FT:76	12413044	Receivables- AAA - FT:76
